Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundreds,fiftys,duck
"SR Tendulkar (INDIA)",1989-2012,463,452,41,18426,200*,44.83,21367,86.23,49,96,20
"KC Sangakkara (Asia/ICC/SL)",2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
"RT Ponting (AUS/ICC)",1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
"ST Jayasuriya (Asia/SL)",1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34
"DPMD Jayawardene (Asia/SL)",1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
"Inzamam-ul-Haq (Asia/PAK)",1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20
"V Kohli (INDIA)",2008-2019,242,233,39,11609,183,59.84,12445,93.28,43,55,13
"JH Kallis (Afr/ICC/SA)",1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
"SC Ganguly (Asia/INDIA)",1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16
"R Dravid (Asia/ICC/INDIA)",1996-2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13
"MS Dhoni (Asia/INDIA)",2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10
"CH Gayle (ICC/WI)",1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25
"BC Lara (ICC/WI)",1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16
"TM Dilshan (SL)",1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11
"Mohammad Yousuf (Asia/PAK)",1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15
"AC Gilchrist (AUS/ICC)",1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19
"AB de Villiers (Afr/SA)",2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7
"M Azharuddin (INDIA)",1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9
"PA de Silva (SL)",1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17
"RG Sharma (INDIA)",2007-2019,221,214,32,8944,264,49.14,10063,88.88,28,43,13
"Saeed Anwar (PAK)",1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15
"S Chanderpaul (WI)",1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6
"Yuvraj Singh (Asia/INDIA)",2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18
"DL Haynes (WI)",1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13
"MS Atapattu (SL)",1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13
"ME Waugh (AUS)",1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16
"LRPL Taylor (NZ)",2006-2019,228,212,37,8376,181*,47.86,10091,83,20,50,9
"V Sehwag (Asia/ICC/INDIA)",1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
"HM Amla (SA)",2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4
"HH Gibbs (SA)",1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22
"Shahid Afridi (Asia/ICC/PAK)",1996-2015,398,369,27,8064,124,23.57,6892,117,6,39,30
"SP Fleming (ICC/NZ)",1994-2007,280,269,21,8037,134*,32.4,11242,71.49,8,49,17
"MJ Clarke (AUS)",2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10
"SR Waugh (AUS)",1986-2002,325,288,58,7569,120*,32.9,9971,75.91,3,45,15
"Shoaib Malik (PAK)",1999-2019,287,258,40,7534,143,34.55,9199,81.9,9,44,15
"A Ranatunga (SL)",1982-1999,269,255,47,7456,131*,35.84,9571,77.9,4,49,18
"Javed Miandad (PAK)",1975-1996,233,218,41,7381,119*,41.7,11014,67.01,8,50,8
"EJG Morgan (ENG/IRE)",2006-2019,233,217,32,7348,148,39.71,8053,91.24,13,46,15
"Younis Khan (PAK)",2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22
"Saleem Malik (PAK)",1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19
"NJ Astle (NZ)",1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19
"GC Smith (Afr/SA)",2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8
"WU Tharanga (Asia/SL)",2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17
"MG Bevan (AUS)",1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5
"Tamim Iqbal (BDESH)",2007-2019,204,202,8,6892,154,35.52,8865,77.74,11,47,18
"G Kirsten (SA)",1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11
"A Flower (ZIM)",1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13
"IVA Richards (WI)",1975-1991,187,167,24,6721,189*,47,7451,90.2,11,45,7
"MJ Guptill (NZ)",2009-2019,179,176,19,6626,237*,42.2,7586,87.34,16,35,15
"Mohammad Hafeez (PAK)",2003-2019,218,216,15,6614,140*,32.9,8633,76.61,11,38,19
"GW Flower (ZIM)",1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18
"Ijaz Ahmed (PAK)",1986-2000,250,232,29,6564,139*,32.33,8174,80.3,10,37,14
"AR Border (AUS)",1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11
"Shakib Al Hasan (BDESH)",2006-2019,206,194,27,6323,134*,37.86,7641,82.75,9,47,10
"BRM Taylor (ZIM)",2004-2019,193,192,15,6293,145*,35.55,8256,76.22,10,38,15
"RB Richardson (WI)",1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8
"ML Hayden (AUS/ICC)",1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9
"KS Williamson (NZ)",2010-2019,149,142,14,6132,148,47.9,7494,81.82,13,39,5
"Mushfiqur Rahim (BDESH)",2006-2019,216,202,34,6100,144,36.3,7718,79.03,7,37,10
"BB McCullum (NZ)",2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20
"DM Jones (AUS)",1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6
"DC Boon (AUS)",1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6
"JN Rhodes (SA)",1992-2003,245,220,51,5935,121,35.11,7336,80.9,2,33,12
"JE Root (ENG)",2013-2019,143,135,21,5856,133*,51.36,6702,87.37,16,33,4
"Rameez Raja (PAK)",1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15
"AD Mathews (SL)",2008-2019,214,184,48,5812,139*,42.73,6974,83.33,3,40,15
"RR Sarwan (WI)",2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8
"CL Hooper (WI)",1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7
"SR Watson (AUS)",2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12
"H Masakadza (ZIM)",2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15
"SK Raina (INDIA)",2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14
"MN Samuels (WI)",2000-2018,207,196,26,5606,133*,32.97,7463,75.11,10,30,11
"WJ Cronje (SA)",1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8
"S Dhawan (INDIA)",2010-2019,133,131,7,5518,143,44.5,5869,94.01,17,27,5
"F du Plessis (SA)",2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3
"MEK Hussey (AUS)",2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3
"IR Bell (ENG)",2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6
"A Jadeja (INDIA)",1992-2000,196,179,36,5359,119,37.47,7677,69.8,6,30,10
"DR Martyn (AUS)",1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10
"G Gambhir (INDIA)",2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11
"ADR Campbell (ZIM)",1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11
"RS Mahanama (SL)",1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15
"CG Greenidge (WI)",1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3
"Misbah-ul-Haq (PAK)",2002-2015,162,149,31,5122,96*,43.4,6945,73.75,0,42,6
"JP Duminy (SA)",2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7
"PD Collingwood (ENG)",2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7
"A Symonds (AUS)",1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15
"Abdul Razzaq (Asia/PAK)",1996-2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14
"DA Warner (AUS)",2009-2019,116,114,5,4990,179,45.77,5222,95.55,17,20,2
"CL Cairns (ICC/NZ)",1991-2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9
"Q de Kock (SA)",2013-2019,115,115,6,4907,178,45.01,5154,95.2,14,24,3
"Aamer Sohail (PAK)",1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10
"CD McMillan (NZ)",1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9
"MD Crowe (NZ)",1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3
"MV Boucher (Afr/SA)",1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16
"AJ Stewart (ENG)",1989-2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13
"AJ Finch (AUS)",2013-2019,119,115,2,4559,153*,40.34,5093,89.51,15,24,11
"SB Styris (NZ)",1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9
"KP Pietersen (ENG/ICC)",2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
"NS Sidhu (INDIA)",1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7
"CZ Harris (NZ)",1990-2004,250,213,62,4379,130,29,6583,66.51,1,16,12
"GR Marsh (AUS)",1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4
"E Chigumbura (Afr/ZIM)",2004-2018,213,198,26,4340,117,25.23,5423,80.02,2,19,17
"ME Trescothick (ENG)",2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
"GA Gooch (ENG)",1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4
"AJ Strauss (ENG)",2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9
"K Srikkanth (INDIA)",1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11
"PR Stirling (IRE)",2008-2019,114,111,2,4038,177,37.04,4627,87.27,8,23,10
"WTS Porterfield (IRE)",2006-2019,136,133,3,4037,139,31.05,5818,69.38,11,17,9
"AJ Lamb (ENG)",1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8
"Mahmudullah (BDESH)",2007-2019,185,160,42,3994,128*,33.84,5222,76.48,3,21,8
"RP Arnold (SL)",1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7
"AP Gurusinha (SL)",1985-1996,147,143,5,3902,117*,28.27,6409,60.88,2,22,12
"JG Wright (NZ)",1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9
"DJ Cullinan (SA)",1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10
"GA Hick (ENG)",1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10
"JC Buttler (ENG)",2012-2019,142,117,23,3843,150,40.88,3207,119.83,9,20,12
"SPD Smith (AUS)",2010-2019,118,104,12,3810,164,41.41,4414,86.31,8,23,5
"HP Tillakaratne (SL)",1986-2003,200,168,40,3789,104,29.6,6588,57.51,2,13,10
"N Kapil Dev (INDIA)",1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13
"Wasim Akram (PAK)",1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28
"SC Williams (ZIM)",2005-2019,131,127,18,3717,129*,34.1,4546,81.76,3,31,7
"RS Kaluwitharana (SL)",1990-2004,189,181,14,3711,102*,22.22,4776,77.7,2,23,24
"Imran Khan (PAK)",1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6
"PV Simmons (WI)",1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14
"NV Knight (ENG)",1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6
"LD Chandimal (SL)",2010-2019,146,132,21,3599,111,32.42,4855,74.12,4,22,11
"L Klusener (SA)",1996-2004,171,137,50,3576,103*,41.1,3977,89.91,2,19,13
"SM Pollock (Afr/ICC/SA)",1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20
"MA Taylor (AUS)",1989-1997,113,110,1,3514,105,32.23,5909,59.46,1,28,4
"DB Vengsarkar (INDIA)",1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7
"KJ O'Brien (IRE)",2006-2019,142,130,17,3490,142,30.88,3922,88.98,2,18,5
"Mohammad Ashraful (Asia/BDESH)",2001-2013,177,169,13,3468,109,22.23,4947,70.1,3,20,14
"SO Tikolo (Afr/KENYA)",1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13
"HH Dippenaar (Afr/SA)",1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4
"A Flintoff (ENG/ICC)",1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9
"T Taibu (Afr/ZIM)",2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16
"JJ Roy (ENG)",2015-2019,84,81,2,3381,180,42.79,3148,107.4,9,18,7
"KC Wessels (AUS/SA)",1983-1994,109,105,7,3367,107,34.35,6088,55.3,1,26,0
"Babar Azam (PAK)",2015-2019,74,72,10,3359,125*,54.17,3857,87.08,11,15,2
"AC Parore (NZ)",1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19
"Moin Khan (PAK)",1990-2004,219,183,41,3266,72*,23,4017,81.3,0,12,17
"Kamran Akmal (PAK)",2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10
"AN Cook (ENG)",2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7
"HDRL Thirimanne (SL)",2010-2019,127,106,14,3194,139*,34.71,4419,72.27,4,21,7
"Umar Akmal (PAK)",2009-2019,121,110,17,3194,102*,34.34,3712,86.04,2,20,8
"DI Gower (ENG)",1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6
"KR Rutherford (NZ)",1985-1995,121,115,9,3143,108,29.65,4888,64.3,2,18,6
"BJ Haddin (AUS)",2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2
"RJ Shastri (INDIA)",1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5
"SM Gavaskar (INDIA)",1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8
"DS Lehmann (AUS)",1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4
"DA Miller (SA)",2010-2019,126,110,31,3058,139,38.7,3054,100.13,5,12,8
"GJ Bailey (AUS)",2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3
"SD Hope (WI)",2016-2019,72,67,10,3007,170,52.75,4046,74.32,8,15,4
"V Sibanda (Afr/ZIM)",2003-2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14
"DJ Bravo (WI)",2004-2014,164,141,24,2968,112*,25.36,3606,82.3,2,10,11
"AM Rahane (INDIA)",2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6
"HH Streak (Afr/ZIM)",1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6
"WW Hinds (WI)",1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8
"GJ Maxwell (AUS)",2012-2019,110,100,11,2877,102,32.32,2332,123.37,1,19,9
"JM Bairstow (ENG)",2011-2019,74,68,8,2861,141*,47.68,2749,104.07,9,11,5
"DM Bravo (WI)",2009-2019,110,105,13,2839,124,30.85,4045,70.18,3,18,8
"IJL Trott (ENG)",2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5
"AL Logie (WI)",1981-1993,158,133,36,2809,109*,28.95,3801,73.9,1,14,13
"AH Jones (NZ)",1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4
"Mohammad Nabi (AFG)",2009-2019,124,112,12,2782,116,27.82,3252,85.54,1,15,6
"SE Marsh (AUS)",2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3
"M Kaif (INDIA)",2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8
"SV Carlisle (ZIM)",1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11
"MDKJ Perera (SL)",2013-2019,98,93,5,2739,135,31.12,2945,93,5,14,8
"Mohammad Shahzad (AFG)",2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4
"Salman Butt (PAK)",2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15
"RG Twose (NZ)",1995-2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5
"GJ Whittall (ZIM)",1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12
"RS Bopara (ENG)",2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4
"BA Stokes (ENG)",2011-2019,95,81,15,2682,102*,40.63,2855,93.94,3,20,5
"Sikandar Raza (ZIM)",2013-2019,97,93,15,2656,141,34.05,3249,81.74,3,14,1
"Mudassar Nazar (PAK)",1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6
"EC Joyce (ENG/IRE)",2006-2018,78,77,8,2622,160*,38,3630,72.23,6,15,5
"Ahmed Shehzad (PAK)",2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7
"NJ O'Brien (IRE)",2006-2018,103,101,9,2581,109,28.05,3638,70.94,1,18,3
"Zaheer Abbas (PAK)",1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2
"CR Ervine (ZIM)",2010-2019,93,90,11,2571,130*,32.54,3406,75.48,3,15,7
"AC Hudson (SA)",1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6
"TWM Latham (NZ)",2012-2019,95,88,9,2550,137,32.27,3096,82.36,4,15,7
"VG Kambli (INDIA)",1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4
"Imrul Kayes (BDESH)",2008-2018,78,78,2,2434,144,32.02,3423,71.1,4,16,2
"JDP Oram (NZ)",2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8
"TM Odoyo (Afr/KENYA)",1996-2014,136,119,16,2420,111*,23.49,3438,70.38,1,8,13
"AD Hales (ENG)",2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5
"RA Smith (ENG)",1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4
"L Vincent (NZ)",2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8
"KJ Coetzer (SCOT)",2008-2019,59,57,2,2409,156,43.8,2795,86.18,4,17,5
"KA Pollard (WI)",2007-2019,107,99,7,2398,119,26.06,2547,94.14,3,10,13
"CJ Chibhabha (ZIM)",2005-2018,103,103,2,2389,99,23.65,3784,63.13,0,16,7
"GP Thorpe (ENG)",1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3
"Rahmat Shah (AFG)",2013-2019,73,69,2,2359,114,35.2,3366,70.08,4,16,3
"Asghar Afghan (AFG)",2009-2019,111,105,9,2356,101,24.54,3531,66.72,1,12,7
"VVS Laxman (INDIA)",1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3
"RR Singh (INDIA)",1989-2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5
"N Hussain (ENG)",1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6
"GS Chappell (AUS)",1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7
"Sarfaraz Ahmed (PAK)",2007-2019,116,90,22,2302,105,33.85,2622,87.79,2,11,1
"SL Campbell (WI)",1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9
"DL Vettori (ICC/NZ)",1997-2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23
"S Matsikenyeri (ZIM)",2002-2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8
"GM Wood (AUS)",1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4
"NLTC Perera (SL)",2009-2019,161,128,16,2210,140,19.73,1979,111.67,1,10,11
"MJ Greatbatch (NZ)",1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7
"JC Adams (WI)",1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7
"Shahriar Nafees (BDESH)",2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11
"D Ramdin (WI)",2005-2016,139,110,22,2200,169,25,2738,80.35,2,8,4
"RA Jadeja (INDIA)",2009-2019,159,106,36,2188,87,31.25,2543,86.04,0,11,6
"CS MacLeod (SCOT)",2008-2019,66,64,6,2175,175,37.5,2623,82.92,8,8,8
"Habibul Bashar (BDESH)",1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18
"IT Botham (ENG)",1976-1992,116,106,15,2113,79,23.21,2671,79.1,0,9,6
"MW Gatting (ENG)",1977-1993,92,88,17,2095,115*,29.5,2968,70.58,1,9,4
"NH Fairbrother (ENG)",1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2
"RL Powell (WI)",1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8
"CL White (AUS)",2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4
"GC Wilson (IRE)",2007-2019,105,99,12,2072,113,23.81,2880,71.94,1,12,6
"CO Obuya (KENYA)",2001-2014,104,89,9,2044,98*,25.55,2981,68.56,0,11,6
"Yasir Hameed (PAK)",2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2
"WPUJC Vaas (Asia/SL)",1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25
"KO Otieno (KENYA)",1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12
"SV Manjrekar (INDIA)",1988-1996,74,70,10,1994,105,33.23,3101,64.3,1,15,3
"MP Vaughan (ENG)",2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9
"CH Lloyd (WI)",1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1
"GD Elliott (NZ)",2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6
"BKG Mendis (SL)",2016-2019,73,71,3,1973,102,29.01,2367,83.35,1,16,10
